record_datetime,windspd,winddir
2006-02-07 00:00:00,10.4,291.3
2006-02-07 01:00:00,10.7,291.7
2006-02-07 02:00:00,11.1,287.7
2006-02-07 03:00:00,11.3,288.4
2006-02-07 04:00:00,11.6,289.6
2006-02-07 05:00:00,11.4,286.8
2006-02-07 06:00:00,11.1,281.1
2006-02-07 07:00:00,11.2,287.5
2006-02-07 08:00:00,11.3,285
2006-02-07 09:00:00,11.7,283.4
2006-02-07 10:00:00,13,281.2
2006-02-07 11:00:00,14.4,280.1
2006-02-07 12:00:00,15.2,278.2
2006-02-07 13:00:00,12.3,282.4
2006-02-07 14:00:00,13.3,272.8
2006-02-07 15:00:00,16,276.3
2006-02-07 16:00:00,16.4,272.2
2006-02-07 17:00:00,16.2,271.5
2006-02-07 18:00:00,15.8,270.9
2006-02-07 19:00:00,17.7,271.4
2006-02-07 20:00:00,19.4,270.2
2006-02-07 21:00:00,20.7,269.9
2006-02-07 22:00:00,21.8,271
2006-02-07 23:00:00,22.7,269.7
2006-02-08 00:00:00,25.2,270.8
2006-02-08 01:00:00,25.1,267.9
2006-02-08 02:00:00,24,275
2006-02-08 03:00:00,14.6,317.6
2006-02-08 04:00:00,14.5,313.1
2006-02-08 05:00:00,15.4,316.7
2006-02-08 06:00:00,19.2,323.7
2006-02-08 07:00:00,22.3,323
2006-02-08 08:00:00,22.8,324.5
2006-02-08 09:00:00,23.1,326
2006-02-08 10:00:00,22,329.7
2006-02-08 11:00:00,18.4,332
2006-02-08 12:00:00,16.4,330.8
2006-02-08 13:00:00,15.8,328
2006-02-08 14:00:00,14.8,326.5
2006-02-08 15:00:00,13.7,324
2006-02-08 16:00:00,12.2,323.3
2006-02-08 17:00:00,13.3,330.3
2006-02-08 18:00:00,13.7,331.6
2006-02-08 19:00:00,11.4,315.5
2006-02-08 20:00:00,11.2,321
2006-02-08 21:00:00,11.1,323
2006-02-08 22:00:00,11.6,319.4
2006-02-08 23:00:00,12.7,319.4
2006-02-09 00:00:00,13.4,323.8
2006-02-09 01:00:00,12.5,330
2006-02-09 02:00:00,12.8,334.3
2006-02-09 03:00:00,12.5,343
2006-02-09 04:00:00,11.1,308.9
2006-02-09 05:00:00,13.4,19.9
2006-02-09 06:00:00,14.6,19.2
2006-02-09 07:00:00,17.4,9.3
2006-02-09 08:00:00,18,11.8
2006-02-09 09:00:00,19.2,9.9
2006-02-09 10:00:00,18.7,4.8
2006-02-09 11:00:00,18,1.4
2006-02-09 12:00:00,17.2,1
2006-02-09 13:00:00,16.8,4.4
2006-02-09 14:00:00,16,5.8
2006-02-09 15:00:00,15.1,4.4
2006-02-09 16:00:00,13.8,3
2006-02-09 17:00:00,13.7,139.9
2006-02-09 18:00:00,14.9,52.3
2006-02-09 19:00:00,14.3,140.3
2006-02-09 20:00:00,14.4,8.3
2006-02-09 21:00:00,14.2,11.3
2006-02-09 22:00:00,14.1,9.6
2006-02-09 23:00:00,14.5,55.9
2006-02-10 00:00:00,14.9,8.6
2006-02-10 01:00:00,14.9,8.6
2006-02-10 02:00:00,14.6,6.4
2006-02-10 03:00:00,14.2,53.7
2006-02-10 04:00:00,13.8,53.3
2006-02-10 05:00:00,13.6,53.8
2006-02-10 06:00:00,13.3,5.6
2006-02-10 07:00:00,12.2,5.4
2006-02-10 08:00:00,11.7,4.4
2006-02-10 09:00:00,11.2,5.2
2006-02-10 10:00:00,10.1,6.1
2006-02-10 11:00:00,9,7
2006-02-10 12:00:00,8,7.3
2006-02-10 13:00:00,5.4,8.1
2006-02-10 14:00:00,5,10
2006-02-10 15:00:00,4.5,15.1
2006-02-10 16:00:00,4.3,24.6
2006-02-10 17:00:00,4,32.3
2006-02-10 18:00:00,4.2,36.4
2006-02-10 19:00:00,3.3,19
2006-02-10 20:00:00,2.7,15.5
2006-02-10 21:00:00,1.9,90.4
2006-02-10 22:00:00,1.8,342.7
2006-02-10 23:00:00,2.3,335.7
2006-02-11 00:00:00,2.6,343.9
2006-02-11 01:00:00,2.7,58
2006-02-11 02:00:00,2.2,64.7
2006-02-11 03:00:00,1.9,73.5
2006-02-11 04:00:00,1.9,99.6
2006-02-11 05:00:00,2.1,119.5
2006-02-11 06:00:00,2.3,132.3
2006-02-11 07:00:00,2.9,140
2006-02-11 08:00:00,3.3,139.9
2006-02-11 09:00:00,3.8,149.3
2006-02-11 10:00:00,3.5,162.9
2006-02-11 11:00:00,3.2,177.7
2006-02-11 12:00:00,3.3,191.9
2006-02-11 13:00:00,3.5,243.8
2006-02-11 14:00:00,3.5,237.6
2006-02-11 15:00:00,4.2,220.1
2006-02-11 16:00:00,5.9,209.1
2006-02-11 17:00:00,5.4,229.4
2006-02-11 18:00:00,5.4,239.1
2006-02-11 19:00:00,5.7,229.6
2006-02-11 20:00:00,6.9,217.8
2006-02-11 21:00:00,8.6,215.6
2006-02-11 22:00:00,9.5,217.6
2006-02-11 23:00:00,9.6,226.6
2006-02-12 00:00:00,10.1,230.3
2006-02-12 01:00:00,9.8,230.8
2006-02-12 02:00:00,10.4,227.5
2006-02-12 03:00:00,11.4,233
2006-02-12 04:00:00,12.4,235.8
2006-02-12 05:00:00,12.2,236.6
2006-02-12 06:00:00,12.2,238.6
2006-02-12 07:00:00,13.6,228
2006-02-12 08:00:00,14.6,229
2006-02-12 09:00:00,15.3,238.6
2006-02-12 10:00:00,16.3,251.1
2006-02-12 11:00:00,18.8,257.7
2006-02-12 12:00:00,19.3,263.1
2006-02-12 13:00:00,17.4,259.7
2006-02-12 14:00:00,17.4,264.3
2006-02-12 15:00:00,17.7,268.8
2006-02-12 16:00:00,18.1,269.2
2006-02-12 17:00:00,17.7,272.3
2006-02-12 18:00:00,16.6,276.8
2006-02-12 19:00:00,15.5,289.7
2006-02-12 20:00:00,14.7,294.3
2006-02-12 21:00:00,13.4,294.1
2006-02-12 22:00:00,12.3,295.8
2006-02-12 23:00:00,11.6,296.7
2006-02-13 00:00:00,11.1,296.1
2006-02-13 01:00:00,10.8,289.5
2006-02-13 02:00:00,10.5,289
2006-02-13 03:00:00,10.2,288.3
2006-02-13 04:00:00,9.2,290.5
2006-02-13 05:00:00,7.8,290.8
2006-02-13 06:00:00,7.5,284
2006-02-13 07:00:00,7.1,278.6
2006-02-13 08:00:00,7.5,271.6
2006-02-13 09:00:00,8.3,267.4
2006-02-13 10:00:00,8.8,265.7
2006-02-13 11:00:00,8.5,259.1
2006-02-13 12:00:00,9.5,254.9
2006-02-13 13:00:00,10.9,257.5
2006-02-13 14:00:00,10.4,252.9
2006-02-13 15:00:00,10.2,244.3
2006-02-13 16:00:00,10.1,240
2006-02-13 17:00:00,10.3,234.2
2006-02-13 18:00:00,10.9,226.6
2006-02-13 19:00:00,12.2,224
2006-02-13 20:00:00,13.1,221.4
2006-02-13 21:00:00,13.8,217.6
2006-02-13 22:00:00,14.4,212.6
2006-02-13 23:00:00,15.1,208.8
2006-02-14 00:00:00,15.8,209.7
2006-02-14 01:00:00,15.6,208.6
2006-02-14 02:00:00,16.5,210
2006-02-14 03:00:00,17.1,208.8
2006-02-14 04:00:00,18.2,205.8
2006-02-14 05:00:00,19,205.8
2006-02-14 06:00:00,19.4,204.3
2006-02-14 07:00:00,21.6,214.1
2006-02-14 08:00:00,20.2,214
2006-02-14 09:00:00,17.9,226.3
2006-02-14 10:00:00,13.1,269.8
2006-02-14 11:00:00,14.1,268.7
2006-02-14 12:00:00,14.5,267.2
2006-02-14 13:00:00,15.9,262.8
2006-02-14 14:00:00,16.1,262
2006-02-14 15:00:00,15.6,259.6
2006-02-14 16:00:00,15.1,256.3
2006-02-14 17:00:00,14.6,257.5
2006-02-14 18:00:00,14.1,259.8
2006-02-14 19:00:00,15.7,244.6
2006-02-14 20:00:00,16.7,243.3
2006-02-14 21:00:00,17.4,239.6
2006-02-14 22:00:00,18.3,234.3
2006-02-14 23:00:00,20.5,234.4
2006-02-15 00:00:00,23.1,230.3
2006-02-15 01:00:00,29,231.4
2006-02-15 02:00:00,31,230.5
2006-02-15 03:00:00,32.2,230.9
2006-02-15 04:00:00,31.8,234.9
2006-02-15 05:00:00,29.9,238.9
2006-02-15 06:00:00,26.7,246.9
2006-02-15 07:00:00,13.2,280.3
2006-02-15 08:00:00,15.3,268.2
2006-02-15 09:00:00,16,274.7
2006-02-15 10:00:00,17.2,280
2006-02-15 11:00:00,17.2,277.4
2006-02-15 12:00:00,16.8,270.2
2006-02-15 13:00:00,17.9,268.1
2006-02-15 14:00:00,16.3,261.7
2006-02-15 15:00:00,14.9,259.9
2006-02-15 16:00:00,14.2,256.2
2006-02-15 17:00:00,14.8,255.2
2006-02-15 18:00:00,14.3,255.8
2006-02-15 19:00:00,15.4,256.8
2006-02-15 20:00:00,14.7,256.5
2006-02-15 21:00:00,14.5,256.2
2006-02-15 22:00:00,13.9,253.8
2006-02-15 23:00:00,15.3,252.1
2006-02-16 00:00:00,15.9,262.6
2006-02-16 01:00:00,10.4,262.7
2006-02-16 02:00:00,9.8,260.8
2006-02-16 03:00:00,9.6,254.7
2006-02-16 04:00:00,10,252.4
2006-02-16 05:00:00,10.6,251.1
2006-02-16 06:00:00,12.2,249.2
2006-02-16 07:00:00,16.6,245.6
2006-02-16 08:00:00,15.5,240.5
2006-02-16 09:00:00,20,245.2
2006-02-16 10:00:00,18.1,264.4
2006-02-16 11:00:00,18.8,266.7
2006-02-16 12:00:00,19.6,263.4
2006-02-16 13:00:00,20.5,264.5
2006-02-16 14:00:00,20.8,263
2006-02-16 15:00:00,20.5,260.9
2006-02-16 16:00:00,18.4,256.9
2006-02-16 17:00:00,17.6,253.7
2006-02-16 18:00:00,17.6,254.4
2006-02-16 19:00:00,16,252.7
2006-02-16 20:00:00,16.9,248.1
2006-02-16 21:00:00,18.2,245.7
2006-02-16 22:00:00,17.3,243.3
2006-02-16 23:00:00,17.4,245.6
2006-02-17 00:00:00,18.1,246.8
2006-02-17 01:00:00,20.5,251.1
2006-02-17 02:00:00,21,259
2006-02-17 03:00:00,20.6,262.9
2006-02-17 04:00:00,16.2,268.8
2006-02-17 05:00:00,13.2,267.9
2006-02-17 06:00:00,13.4,271.1
2006-02-17 07:00:00,13,277
2006-02-17 08:00:00,12.2,278.8
2006-02-17 09:00:00,14,283.3
2006-02-17 10:00:00,13.9,279.4
2006-02-17 11:00:00,14,272.9
2006-02-17 12:00:00,14.2,261.8
2006-02-17 13:00:00,20.1,264.3
2006-02-17 14:00:00,25.7,275.5
2006-02-17 15:00:00,22.9,271.8
2006-02-17 16:00:00,23,267.4
2006-02-17 17:00:00,20.5,264.5
2006-02-17 18:00:00,21,265.9
2006-02-17 19:00:00,18.3,275.6
2006-02-17 20:00:00,17.3,283.8
2006-02-17 21:00:00,13.6,285.5
2006-02-17 22:00:00,7.7,283
2006-02-17 23:00:00,5.1,263
2006-02-18 00:00:00,4.6,238.9
2006-02-18 01:00:00,6.8,204.2
2006-02-18 02:00:00,8.2,189.4
2006-02-18 03:00:00,6.3,165.1
2006-02-18 04:00:00,8.1,152.1
2006-02-18 05:00:00,8.4,137.5
2006-02-18 06:00:00,9.1,118.7
2006-02-18 07:00:00,6.6,150.9
2006-02-18 08:00:00,6.6,145.3
2006-02-18 09:00:00,7,141.3
2006-02-18 10:00:00,8.5,140.8
2006-02-18 11:00:00,10.9,140.9
2006-02-18 12:00:00,11.9,132.1
2006-02-18 13:00:00,6.2,92.6
2006-02-18 14:00:00,5.6,93.1
2006-02-18 15:00:00,5,96.8
2006-02-18 16:00:00,3.6,87.5
2006-02-18 17:00:00,2.9,60.5
2006-02-18 18:00:00,4.8,46.3
2006-02-18 19:00:00,6.6,101.1
2006-02-18 20:00:00,7.3,107.2
2006-02-18 21:00:00,8.4,106.8
2006-02-18 22:00:00,9.7,101.8
2006-02-18 23:00:00,10.9,113.2
2006-02-19 00:00:00,11.4,112.4
2006-02-19 01:00:00,6.8,107.9
2006-02-19 02:00:00,8.7,95.3
2006-02-19 03:00:00,10.7,101.1
2006-02-19 04:00:00,11.6,103.4
2006-02-19 05:00:00,12.8,98.2
2006-02-19 06:00:00,14.4,97.6
2006-02-19 07:00:00,11.8,107.8
2006-02-19 08:00:00,14,99.6
2006-02-19 09:00:00,15.8,94.4
2006-02-19 10:00:00,16.5,89.7
2006-02-19 11:00:00,16.9,84.1
2006-02-19 12:00:00,18.2,83.8
2006-02-19 13:00:00,20.5,89.8
2006-02-19 14:00:00,21.2,86
2006-02-19 15:00:00,21.1,81.8
2006-02-19 16:00:00,19.9,78
2006-02-19 17:00:00,19.7,75.5
2006-02-19 18:00:00,20.6,74.6
2006-02-19 19:00:00,18.7,70.3
2006-02-19 20:00:00,18.5,68.7
2006-02-19 21:00:00,18.1,67
2006-02-19 22:00:00,19.1,66.1
2006-02-19 23:00:00,21.6,66.1
2006-02-20 00:00:00,21.9,65.6
2006-02-20 01:00:00,22.7,63.4
2006-02-20 02:00:00,24.7,63.9
2006-02-20 03:00:00,25.8,64.4
2006-02-20 04:00:00,24.5,61.3
2006-02-20 05:00:00,21.9,57.1
2006-02-20 06:00:00,21.4,53.5
2006-02-20 07:00:00,25.6,64.5
2006-02-20 08:00:00,23.6,60.9
2006-02-20 09:00:00,24.9,57.1
2006-02-20 10:00:00,24.7,56.7
2006-02-20 11:00:00,23.4,53.9
2006-02-20 12:00:00,21.9,50.5
2006-02-20 13:00:00,22.3,49.4
2006-02-20 14:00:00,21.5,48.1
2006-02-20 15:00:00,20.4,47.9
2006-02-20 16:00:00,19,47.8
2006-02-20 17:00:00,19.3,44.7
2006-02-20 18:00:00,20.7,43.3
2006-02-20 19:00:00,21.6,41.5
2006-02-20 20:00:00,21.2,41.7
2006-02-20 21:00:00,20.6,42.2
2006-02-20 22:00:00,20.4,42.8
2006-02-20 23:00:00,20.3,42.8
2006-02-21 00:00:00,20.2,41.9
2006-02-21 01:00:00,19.4,38.2
2006-02-21 02:00:00,19,37
2006-02-21 03:00:00,18.8,35.5
2006-02-21 04:00:00,19.1,36.8
2006-02-21 05:00:00,19.7,39.7
2006-02-21 06:00:00,19.8,41.8
2006-02-21 07:00:00,19.8,38.4
2006-02-21 08:00:00,19.4,39.4
2006-02-21 09:00:00,19.5,42.9
2006-02-21 10:00:00,18.9,44.7
2006-02-21 11:00:00,18.4,47.1
2006-02-21 12:00:00,18.4,48.7
2006-02-21 13:00:00,17.4,45.8
2006-02-21 14:00:00,17.5,49.6
2006-02-21 15:00:00,18.3,54.8
2006-02-21 16:00:00,19.4,56.1
2006-02-21 17:00:00,20.1,55.1
2006-02-21 18:00:00,21.7,58.6
2006-02-21 19:00:00,21.9,56.1
2006-02-21 20:00:00,22.1,59.6
2006-02-21 21:00:00,21.6,64.6
2006-02-21 22:00:00,21.2,69.6
2006-02-21 23:00:00,20.7,71
2006-02-22 00:00:00,20.5,70.8
2006-02-22 01:00:00,21.1,70.1
2006-02-22 02:00:00,20.8,70.2
2006-02-22 03:00:00,20.7,71.3
2006-02-22 04:00:00,20.6,72.1
2006-02-22 05:00:00,21.1,72.1
2006-02-22 06:00:00,21.2,74.7
2006-02-22 07:00:00,20.3,78.9
2006-02-22 08:00:00,20,80.7
2006-02-22 09:00:00,20.1,83.2
2006-02-22 10:00:00,19.8,85.2
2006-02-22 11:00:00,19.2,87
2006-02-22 12:00:00,18.7,88.9
2006-02-22 13:00:00,19.6,91.2
2006-02-22 14:00:00,18.6,86.7
2006-02-22 15:00:00,18.4,87.8
2006-02-22 16:00:00,18.4,84.3
2006-02-22 17:00:00,18.1,81.8
